"pipeline","seed","roi","roi_label","network","n","mean_delta","d_z","p_value","p_FDR","sig_FDR"
"OC_36P_GSR","PUT",7,"LH_Vis_7","Vis",6,-0.0653026326111708,-0.640670094713916,0.177367622451197,0.864819656604029,FALSE
"OC_36P_GSR","PUT",8,"LH_Vis_8","Vis",6,0.0302998779516563,0.452925405299652,0.317730216412459,0.965899857893874,FALSE
"OC_36P_GSR","PUT",9,"LH_Vis_9","Vis",6,-0.00413799527652653,-0.0633265813348696,0.882795961495326,0.976770847934223,FALSE
"OC_36P_GSR","PUT",10,"LH_Vis_10","Vis",6,-0.0337690483361413,-0.289275486092009,0.510245739675801,0.976770847934223,FALSE
"OC_36P_GSR","PUT",11,"LH_Vis_11","Vis",6,-0.0253534231327281,-0.216194452324943,0.619074085206708,0.976770847934223,FALSE
"OC_36P_GSR","PUT",12,"LH_Vis_12","Vis",6,0.00407827035217834,0.0559558059207205,0.896329031975717,0.976770847934223,FALSE
"OC_36P_GSR","PUT",13,"LH_Vis_13","Vis",6,-0.0234259670524111,-0.26995316958961,0.537702287575891,0.976770847934223,FALSE
"OC_36P_GSR","PUT",14,"LH_Vis_14","Vis",6,-0.0232475908272532,-0.316382635618822,0.473391969409897,0.976770847934223,FALSE
"OC_36P_GSR","PUT",15,"LH_SomMot_1","SomMot",6,-0.0399226985448544,-0.383187159246875,0.391021429638349,0.976770847934223,FALSE
"OC_36P_GSR","PUT",16,"LH_SomMot_2","SomMot",6,0.0247132897668942,0.201130718296395,0.643117754387235,0.976770847934223,FALSE
"OC_36P_GSR","PUT",17,"LH_SomMot_3","SomMot",6,-0.0147103963017368,-0.107805120172647,0.802266376087966,0.976770847934223,FALSE
"OC_36P_GSR","PUT",18,"LH_SomMot_4","SomMot",6,0.0039372317798095,0.0545245528937933,0.898961684178248,0.976770847934223,FALSE
"OC_36P_GSR","PUT",19,"LH_SomMot_5","SomMot",6,-0.0443289558752396,-0.586593999544762,0.210257878077434,0.90059423302719,FALSE
"OC_36P_GSR","PUT",20,"LH_SomMot_6","SomMot",6,-0.00933198726678121,-0.110620815591784,0.797248634209046,0.976770847934223,FALSE
"OC_36P_GSR","PUT",21,"LH_SomMot_7","SomMot",6,-0.0107060744796827,-0.103591701351646,0.809795091875473,0.976770847934223,FALSE
"OC_36P_GSR","PUT",22,"LH_SomMot_8","SomMot",6,0.0756520913820237,0.647822784841898,0.173410996244041,0.864819656604029,FALSE
"OC_36P_GSR","PUT",23,"LH_SomMot_9","SomMot",6,0.0234344554193656,0.131397072042171,0.760582598221172,0.976770847934223,FALSE
"OC_36P_GSR","PUT",24,"LH_SomMot_10","SomMot",6,0.0195433683219853,0.158210742228702,0.714307743669243,0.976770847934223,FALSE
"OC_36P_GSR","PUT",25,"LH_SomMot_11","SomMot",6,0.0402316886457448,0.553685962352867,0.233048507669317,0.90059423302719,FALSE
"OC_36P_GSR","PUT",26,"LH_SomMot_12","SomMot",6,0.0187446019458025,0.102198098156416,0.812290431941151,0.976770847934223,FALSE
"OC_36P_GSR","PUT",27,"LH_SomMot_13","SomMot",6,0.0907271334727463,1.61312815893785,0.0108362034965021,0.864819656604029,FALSE
"OC_36P_GSR","PUT",28,"LH_SomMot_14","SomMot",6,0.0300188038812879,0.210177897924858,0.628615175025873,0.976770847934223,FALSE
"OC_36P_GSR","PUT",29,"LH_SomMot_15","SomMot",6,0.0899689564946602,0.533911047028272,0.24783658998616,0.934779195123133,FALSE
"OC_36P_GSR","PUT",30,"LH_SomMot_16","SomMot",6,-0.00980971775595435,-0.0599870238295093,0.88892224282993,0.976770847934223,FALSE
"OC_36P_GSR","PUT",31,"LH_DorsAttn_Post_1","DorsAttn",6,-0.0201332145077112,-0.154124423475941,0.721277012785268,0.976770847934223,FALSE
"OC_36P_GSR","PUT",32,"LH_DorsAttn_Post_2","DorsAttn",6,-0.0526489703112546,-1.07689627087496,0.0460955410315495,0.864819656604029,FALSE
"OC_36P_GSR","PUT",33,"LH_DorsAttn_Post_3","DorsAttn",6,-0.1051874469175,-1.3379515655192,0.0220201488954243,0.864819656604029,FALSE
"OC_36P_GSR","PUT",34,"LH_DorsAttn_Post_4","DorsAttn",6,0.0500692590809918,0.391459931758757,0.381658315245405,0.976770847934223,FALSE
"OC_36P_GSR","PUT",35,"LH_DorsAttn_Post_5","DorsAttn",6,0.0277358837957552,0.147808311337419,0.732109577807058,0.976770847934223,FALSE
"OC_36P_GSR","PUT",36,"LH_DorsAttn_Post_6","DorsAttn",6,0.0185675131776894,0.292191263348637,0.506187650531943,0.976770847934223,FALSE
"OC_36P_GSR","PUT",37,"LH_DorsAttn_Post_7","DorsAttn",6,-0.074200695684718,-0.685279057555935,0.154072441097622,0.864819656604029,FALSE
"OC_36P_GSR","PUT",38,"LH_DorsAttn_Post_8","DorsAttn",6,-0.0592986530393594,-1.46222842009908,0.0158461386503489,0.864819656604029,FALSE
"OC_36P_GSR","PUT",39,"LH_DorsAttn_Post_9","DorsAttn",6,-0.0489781960568534,-0.354552868574075,0.424850222966298,0.976770847934223,FALSE
"OC_36P_GSR","PUT",40,"LH_DorsAttn_Post_10","DorsAttn",6,0.0170759457285449,0.184531271757932,0.670196888097401,0.976770847934223,FALSE
"OC_36P_GSR","PUT",41,"LH_DorsAttn_FEF_1","DorsAttn",6,-0.0556413599292798,-0.500101370640637,0.275133937235575,0.950462692268351,FALSE
"OC_36P_GSR","PUT",42,"LH_DorsAttn_FEF_2","DorsAttn",6,-0.0927102681288001,-0.863844625951362,0.0879527047135008,0.864819656604029,FALSE
"OC_36P_GSR","PUT",43,"LH_DorsAttn_PrCv_1","DorsAttn",6,0.00146193430479251,0.0341542494176945,0.936572603275912,0.976770847934223,FALSE
"OC_36P_GSR","PUT",44,"LH_SalVentAttn_ParOper_1","SalVentAttn",6,-0.00968995037220026,-0.119613419792838,0.781298659392317,0.976770847934223,FALSE
"OC_36P_GSR","PUT",45,"LH_SalVentAttn_ParOper_2","SalVentAttn",6,0.042857867467176,0.438758428157216,0.331598045341512,0.973316764235028,FALSE
"OC_36P_GSR","PUT",46,"LH_SalVentAttn_ParOper_3","SalVentAttn",6,0.0098249490754157,0.117818706961891,0.784472489748185,0.976770847934223,FALSE
"OC_36P_GSR","PUT",47,"LH_SalVentAttn_FrOperIns_1","SalVentAttn",6,0.0219364771655946,0.180229479116078,0.677310557265986,0.976770847934223,FALSE
"OC_36P_GSR","PUT",48,"LH_SalVentAttn_FrOperIns_2","SalVentAttn",6,-0.0458671586697538,-0.515690954720079,0.26222385285482,0.944665334910603,FALSE
"OC_36P_GSR","PUT",49,"LH_SalVentAttn_FrOperIns_3","SalVentAttn",6,0.00650823009666715,0.0562638702202928,0.895762573798913,0.976770847934223,FALSE
"OC_36P_GSR","PUT",50,"LH_SalVentAttn_FrOperIns_4","SalVentAttn",6,0.0124698743650847,0.103440492674644,0.810065717927636,0.976770847934223,FALSE
"OC_36P_GSR","PUT",51,"LH_SalVentAttn_PFCl_1","SalVentAttn",6,-0.00952167646743858,-0.0644766470369157,0.880688336708032,0.976770847934223,FALSE
"OC_36P_GSR","PUT",52,"LH_SalVentAttn_Med_1","SalVentAttn",6,-0.00643422009586491,-0.0626503689319475,0.884035711647518,0.976770847934223,FALSE
"OC_36P_GSR","PUT",53,"LH_SalVentAttn_Med_2","SalVentAttn",6,0.00629460793911876,0.0361771958634333,0.932827262383433,0.976770847934223,FALSE
"OC_36P_GSR","PUT",54,"LH_SalVentAttn_Med_3","SalVentAttn",6,0.0108331384190567,0.0894512405699201,0.835227914565574,0.976770847934223,FALSE
"OC_36P_GSR","PUT",55,"LH_Limbic_OFC_1","Limbic",6,0.0585066312297072,0.673659119448509,0.159830811121449,0.864819656604029,FALSE
