id,label,x,y,z
37,7Networks_LH_DorsAttn_Post_7,-16.739413680781766,-73.04234527687296,54.100977198697066
38,7Networks_LH_DorsAttn_Post_8,-29.051987767584095,-59.847094801223236,59.382262996941904
39,7Networks_LH_DorsAttn_Post_9,-6.311643835616437,-59.71232876712328,57.52739726027397
40,7Networks_LH_DorsAttn_Post_10,-17.17647058823529,-52.734499205087445,68.4356120826709
41,7Networks_LH_DorsAttn_FEF_1,-31.575433911882513,-4.299065420560751,53.2309746328438
42,7Networks_LH_DorsAttn_FEF_2,-22.509401709401715,5.538461538461547,61.42905982905984
43,7Networks_LH_DorsAttn_PrCv_1,-47.69565217391305,5.608695652173907,28.85990338164251
44,7Networks_LH_SalVentAttn_ParOper_1,-55.732173913043475,-39.979130434782604,20.480000000000004
45,7Networks_LH_SalVentAttn_ParOper_2,-61.023054755043226,-25.429394812680115,28.63688760806916
46,7Networks_LH_SalVentAttn_ParOper_3,-59.72659176029963,-39.374531835205985,36.34456928838951
47,7Networks_LH_SalVentAttn_FrOperIns_1,-39.253900709219856,-3.843971631205676,-3.6510638297872333
48,7Networks_LH_SalVentAttn_FrOperIns_2,-33.501066098081026,20.38805970149255,4.810234541577827
49,7Networks_LH_SalVentAttn_FrOperIns_3,-38.9041095890411,0.8561643835616479,10.993150684931507
50,7Networks_LH_SalVentAttn_FrOperIns_4,-51.04242424242424,8.686868686868678,10.456565656565658
51,7Networks_LH_SalVentAttn_PFCl_1,-28.606106870229006,42.81526717557253,31.357251908396947
52,7Networks_LH_SalVentAttn_Med_1,-6.347578347578349,9.558404558404561,41.484330484330485
53,7Networks_LH_SalVentAttn_Med_2,-10.79299363057325,-35.226114649681534,46.33757961783439
54,7Networks_LH_SalVentAttn_Med_3,-6.882352941176464,-3.201680672268907,65.5924369747899
55,7Networks_LH_Limbic_OFC_1,-23.662239089184055,21.715370018975335,-19.924098671726753
56,7Networks_LH_Limbic_OFC_2,-10.102024291497969,35.54008097165993,-20.497165991902833
57,7Networks_LH_Limbic_TempPole_1,-29.25140924464487,-5.824126268320185,-38.6042841037204
58,7Networks_LH_Limbic_TempPole_2,-45.43108504398827,-20.72922776148583,-30.3108504398827
59,7Networks_LH_Limbic_TempPole_3,-27.514754098360655,9.986885245901647,-34.16065573770492
60,7Networks_LH_Limbic_TempPole_4,-42.362162162162164,7.735135135135124,-18.805405405405402
61,7Networks_LH_Cont_Par_1,-52.849557522123895,-50.92920353982301,45.82743362831859
