"pipeline","has_gsr","metric","mean_PSIL","mean_MTP","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","sig_raw","sig_FDR","sign_dz","sign_primary","dz_primary","dir_match"
"OC+24P",FALSE,"global_efficiency",0.505952436281277,0.413394084052408,0.0925583522288689,0.121231775289669,0.142213241936393,0.761272467891168,1.09617695712672,0.00213170349838937,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,0.889893170782723,TRUE
"OC+24P",FALSE,"char_path_length",2.40940414012989,2.95053413652922,-0.54112999639933,0.144425768389644,0.29450739368011,-0.705755228256949,-1.0977562233827,0.0197866656134936,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"OC+24P",FALSE,"density",0.195234363337812,0.189039408866995,0.00619495447081654,0.431470222215692,0.401678166469773,0.349159214993902,0.566571050278325,0.823905043854098,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+24P",FALSE,"clustering",0.686226490354856,0.669877179275271,0.0163493110795853,0.474994493946095,0.401678166469773,0.315173089823038,0.530409171706529,0.242706541588591,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,1,1,0.972323510589223,TRUE
"OC+24P",FALSE,"modularity",0.302717845712172,0.324967550824956,-0.022249705112784,0.473426267235119,0.674986713970489,-0.316356717320532,-0.236466803515327,0.792311630386142,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+24P",FALSE,"assortativity",0.127856348282394,0.254527499166081,-0.126671150883686,0.171404877503718,0.142213241936393,-0.651510909902414,-1.00334248720916,0.0383338697543636,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,-1,-1,-1.05779940989714,TRUE
"OC+24P",FALSE,"small_worldness",2.4510724752601,2.19035640907403,0.260716066186067,0.157345483411045,0.208412803684149,0.678622273072197,1.1340850481654,0.135947551887783,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,0.662116786827915,TRUE
"OC+24P",FALSE,"eigenvector",0.688800903607598,0.62585305922998,0.0629478443776178,0.065370908273928,0.0934924836898357,0.960333414355489,1.56645197921512,0.125244373019674,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,1.26143843965516,TRUE
"OC+24P",FALSE,"betweenness",96.4906609195402,110.145833333333,-13.6551724137931,0.365190835561501,0.529368106184798,-0.406418759337874,-0.643820998857828,0.853997327224197,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"OC+24P",FALSE,"closeness",0.00980889951113559,0.00693768400680426,0.00287121550433133,0.657758917597311,1,0.192110328169647,0.301424428461138,0.459568531698063,"parallel (t + Wilcoxon)",0.71257216073042,FALSE,FALSE,1,-1,-0.0283659638346467,FALSE
"OC+24P",FALSE,"participation",0.346637193118318,0.350156148654898,-0.00351895553657986,0.8556125190481,0.833935414088552,-0.0782098693787346,-0.0498884827192636,0.509385738958892,"parallel (t + Wilcoxon)",0.8556125190481,FALSE,FALSE,-1,-1,-1.11100230107444,TRUE
"OC+24P",FALSE,"degree_entropy",6.12011296475763,6.08483937132339,0.0352735934342361,0.533785218437762,0.401678166469773,0.272668393217362,0.36292842479352,0.655334145439549,"parallel (t + Wilcoxon)",0.630837076335537,FALSE,FALSE,1,1,0.198820958841412,TRUE
"OC+aCompCor",FALSE,"mean_strength",96.7646971012451,67.7990426875151,28.9656544137299,0.093873478821344,0.0934924836898357,0.842899179546681,1.36594802139431,0.939836889463458,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.971293512870366,TRUE
"OC+aCompCor",FALSE,"global_efficiency",0.451060448165151,0.355048053172181,0.0960123949929697,0.121443248626784,0.142213241936393,0.760718764840188,1.23380392212725,0.883146147802669,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.889893170782723,TRUE
"OC+aCompCor",FALSE,"char_path_length",2.78996709187629,3.50671814338938,-0.716751051513093,0.0938052212605868,0.142213241936393,-0.843132635324062,-1.32148723337899,0.774310769428249,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"OC+aCompCor",FALSE,"density",0.195588893864756,0.180393839876599,0.0151950539881574,0.115905613701093,0.0934924836898357,0.775555602452343,1.18324671063422,0.746152573537661,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+aCompCor",FALSE,"clustering",0.697723777671554,0.668881311568501,0.0288424661030539,0.158173535617601,0.208412803684149,0.676960050182684,0.910285805402148,0.90359709061423,"parallel (t + Wilcoxon)",0.228472884780979,FALSE,FALSE,1,1,0.972323510589223,TRUE
"OC+aCompCor",FALSE,"modularity",0.312086493990414,0.362021821348891,-0.0499353273584761,0.143441406799381,0.142213241936393,-0.707921452539762,-0.529918882612413,0.417092314746886,"parallel (t + Wilcoxon)",0.228472884780979,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+aCompCor",FALSE,"assortativity",0.159439044948372,0.348158029895639,-0.188718984947267,0.0408625186571098,0.0591720678258594,-1.11800781944957,-1.58572318742536,0.285107276237378,"parallel (t + Wilcoxon)",0.225537461735456,TRUE,FALSE,-1,-1,-1.05779940989714,TRUE
"OC+aCompCor",FALSE,"small_worldness",2.25253098973314,2.02640306159451,0.22612792813863,0.300424816983091,0.29450739368011,0.471375541628034,0.82362590718385,0.700116355815566,"parallel (t + Wilcoxon)",0.390552262078018,FALSE,FALSE,1,1,0.662116786827915,TRUE
"OC+aCompCor",FALSE,"eigenvector",0.672989375807558,0.599146406742078,0.0738429690654798,0.0274849456368479,0.0591720678258594,1.2572045558979,1.76836306675242,0.188704901217541,"parallel (t + Wilcoxon)",0.225537461735456,TRUE,FALSE,1,1,1.26143843965516,TRUE
"OC+aCompCor",FALSE,"betweenness",87.7097701149425,112.005747126437,-24.2959770114942,0.0869024423271209,0.0934924836898357,-0.86771511932875,-1.11218705608568,0.882743239876039,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"OC+aCompCor",FALSE,"closeness",0.00305345786155973,0.00379176428661267,-0.000738306425052944,0.708930259636264,1,-0.161376389954906,-0.243498845190578,0.427671686120525,"parallel (t + Wilcoxon)",0.837826670479221,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"OC+aCompCor",FALSE,"participation",0.317571070282215,0.31553323456049,0.00203783572172499,0.894972267381969,1,0.0566937368614196,0.0287808189837934,0.537445085859742,"parallel (t + Wilcoxon)",0.937232301064722,FALSE,FALSE,1,-1,-1.11100230107444,FALSE
"OC+aCompCor",FALSE,"degree_entropy",6.00924878589063,6.00204541714401,0.00720336874661672,0.937232301064722,0.833935414088552,0.0337980369286795,0.0500541536172308,0.647864934559221,"parallel (t + Wilcoxon)",0.937232301064722,FALSE,FALSE,1,1,0.198820958841412,TRUE
"OC+36P+GSR",TRUE,"mean_strength",36.785963185472,41.0625884353543,-4.27662524988229,0.237939369134881,0.208412803684149,-0.547019829186989,-0.826895663310502,0.722974760854452,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.971293512870366,FALSE
"OC+36P+GSR",TRUE,"global_efficiency",0.235591264236497,0.256662697304972,-0.021071433068475,0.192794636373217,0.208412803684149,-0.614195562772129,-0.861458670623641,0.795725764856107,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.889893170782723,FALSE
"OC+36P+GSR",TRUE,"char_path_length",5.00706076045734,4.67797931317589,0.329081447281457,0.148910113661582,0.142213241936393,0.696071225322814,0.826666829759887,0.80623628237014,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,1,-1,-1.03530951544767,FALSE
"OC+36P+GSR",TRUE,"density",0.106247201074787,0.103746827884759,0.00250037319002836,0.449743168665658,0.674986713970489,0.334592046403467,0.305203233143145,0.737306487791807,"parallel (t + Wilcoxon)",0.730832649081694,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+36P+GSR",TRUE,"clustering",0.575968497871357,0.596460071953801,-0.020491574082444,0.398358727703037,0.674986713970489,-0.37681477656951,-0.589602355836173,0.353003767221171,"parallel (t + Wilcoxon)",0.730832649081694,FALSE,FALSE,-1,1,0.972323510589223,FALSE
"OC+36P+GSR",TRUE,"modularity",0.49306551992805,0.498130726216054,-0.00506520628800436,0.890041207467987,0.833935414088552,-0.059377579456836,-0.063453147107877,0.734071640576699,"parallel (t + Wilcoxon)",0.964211308090319,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+36P+GSR",TRUE,"assortativity",0.414492213709333,0.41209041755264,0.00240179615669349,0.968888120407273,0.674986713970489,0.0167352689330548,0.0230585158033412,0.0307915583476131,"parallel (t + Wilcoxon)",0.968888120407273,FALSE,FALSE,1,-1,-1.05779940989714,FALSE
"OC+36P+GSR",TRUE,"small_worldness",2.05291458528049,2.2154003040225,-0.162485718742002,0.180347619941893,0.208412803684149,-0.635385461134817,-0.52590574491805,0.532277265719128,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.662116786827915,FALSE
"OC+36P+GSR",TRUE,"eigenvector",0.52193365149455,0.511050118715285,0.0108835327792643,0.78118103601965,0.833935414088552,0.119679984731788,0.192863735666312,0.382979891891656,"parallel (t + Wilcoxon)",0.958696695868249,FALSE,FALSE,1,1,1.26143843965516,TRUE
"OC+36P+GSR",TRUE,"betweenness",191.75933908046,189.441091954023,2.31824712643678,0.811204896503903,0.833935414088552,0.102804175917807,0.122555826945355,0.791986437199456,"parallel (t + Wilcoxon)",0.958696695868249,FALSE,FALSE,1,-1,-1.06530582356563,FALSE
"OC+36P+GSR",TRUE,"closeness",0.00305894027669674,0.00598223997270145,-0.00292329969600471,0.331122488219265,0.401678166469773,-0.439235753805951,-0.764525258678467,0.768860288570827,"parallel (t + Wilcoxon)",0.717432057808408,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"OC+36P+GSR",TRUE,"participation",0.271403734621949,0.253471305977702,0.0179324286442469,0.641587312817759,0.674986713970489,0.202080060272865,0.255466308538755,0.982692366220373,"parallel (t + Wilcoxon)",0.926737229625651,FALSE,FALSE,1,-1,-1.11100230107444,FALSE
"OC+36P+GSR",TRUE,"degree_entropy",5.62863106022997,5.51008834894205,0.118542711287927,0.0947271482657006,0.0934924836898357,0.839994422752728,0.878237938072066,0.379113216332317,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,1,1,0.198820958841412,TRUE
